PPG1,PPG2
-267.036,46.009
-262.092,45.91
-257.148,45.81
-252.204,45.708
-247.26,45.605
-242.328,45.499
-237.396,45.392
-232.476,45.283
-227.556,45.173
-222.66,45.061
-217.776,44.947
-212.904,44.831
-208.044,44.714
-203.208,44.595
-198.372,44.475
-193.572,44.353
-188.784,44.229
-184.008,44.105
-179.256,43.979
-174.516,43.851
-169.8,43.723
-165.108,43.594
-160.428,43.464
-155.772,43.332
-151.128,43.2
-146.52,43.067
-141.924,42.934
-137.34,42.799
-132.792,42.664
-128.256,42.529
-123.744,42.392
-119.256,42.255
-114.792,42.117
-110.352,41.978
-105.936,41.838
-101.544,41.698
-97.188,41.556
-92.856,41.413
-88.548,41.268
-84.276,41.122
-80.04,40.975
-75.84,40.825
-71.676,40.674
-67.548,40.52
-63.456,40.364
-59.424,40.206
-55.416,40.045
-51.468,39.881
-47.568,39.713
-43.716,39.543
-39.924,39.369
-36.192,39.191
-32.508,39.009
-28.896,38.824
-25.332,38.634
-21.852,38.44
-18.42,38.242
-15.072,38.039
-11.796,37.831
-8.58,37.619
-5.448,37.402
-2.388,37.18
0.6,36.954
3.504,36.722
6.336,36.486
9.084,36.245
11.748,35.999
14.34,35.748
16.86,35.493
19.296,35.233
21.648,34.969
23.928,34.7
26.136,34.427
28.272,34.149
30.324,33.868
32.316,33.583
34.236,33.294
36.096,33.001
37.884,32.705
39.612,32.406
41.28,32.104
42.888,31.798
44.448,31.49
45.96,31.178
47.424,30.865
48.84,30.549
50.208,30.23
51.54,29.909
52.836,29.587
54.108,29.262
55.332,28.935
56.532,28.607
57.708,28.277
58.86,27.945
59.988,27.612
61.104,27.277
62.196,26.941
63.264,26.604
64.32,26.265
65.364,25.925
66.396,25.583
67.404,25.241
68.412,24.897
69.408,24.552
70.38,24.205
71.352,23.857
72.3,23.508
73.248,23.158
74.184,22.807
75.096,22.454
76.008,22.099
76.896,21.743
77.772,21.386
78.624,21.028
79.464,20.668
80.292,20.306
81.096,19.943
81.888,19.578
82.656,19.211
83.4,18.843
84.12,18.473
84.828,18.101
85.5,17.727
86.16,17.352
86.796,16.974
87.408,16.595
87.996,16.213
88.572,15.83
89.112,15.445
89.64,15.057
90.144,14.667
90.624,14.275
91.08,13.881
91.524,13.485
91.944,13.086
92.352,12.686
92.748,12.283
93.12,11.878
93.492,11.471
93.84,11.061
94.176,10.65
94.5,10.236
94.824,9.821
95.136,9.403
95.436,8.984
95.724,8.563
96.012,8.14
96.3,7.715
96.576,7.29
96.84,6.863
97.104,6.434
97.368,6.005
97.62,5.575
97.872,5.145
98.112,4.714
98.34,4.283
98.556,3.852
98.772,3.422
98.964,2.992
99.156,2.563
99.324,2.135
99.48,1.709
99.612,1.284
99.72,0.861
99.816,0.441
99.876,0.023
99.912,-0.392
99.924,-0.804
99.9,-1.213
99.84,-1.618
99.744,-2.019
99.624,-2.415
99.456,-2.808
99.24,-3.196
98.988,-3.579
98.688,-3.958
98.352,-4.331
97.968,-4.7
97.536,-5.063
97.056,-5.421
96.528,-5.773
95.952,-6.121
95.328,-6.463
94.656,-6.8
93.936,-7.132
93.18,-7.459
92.376,-7.781
91.524,-8.099
90.636,-8.412
89.712,-8.721
88.74,-9.027
87.744,-9.328
86.712,-9.627
85.656,-9.923
84.576,-10.216
83.46,-10.507
82.332,-10.796
81.192,-11.083
80.028,-11.37
78.852,-11.656
77.676,-11.942
76.5,-12.228
75.312,-12.514
